title,budget,gross,mpaa,running_time,genre,year
Endless Love,0,32492674.0,R,"116.0,",Drama,1981
Time Bandits,5000000,42368025.0,PG,"110.0,",Adventure,1981
The Four Seasons,0,50427646.0,PG,"107.0,",Comedy,1981
Friday the 13th Part 2,1250000,21722776.0,R,"87.0,",Horror,1981
Scanners,0,14225876.0,R,"103.0,",Horror,1981
For Your Eyes Only,28000000,54813222.0,PG,"127.0,",Action,1981
Halloween II,2500000,25533818.0,R,"92.0,",Horror,1981
Taps,14000000,35856053.0,PG,"126.0,",Drama,1981
Reds,32000000,40382659.0,PG,"195.0,",Biography,1981
On Golden Pond,0,119285432.0,PG,"109.0,",Drama,1981
The Fox and the Hound,12000000,63456988.0,G,"83.0,",Animation,1981
Chariots of Fire,5500000,59303359.0,PG,"125.0,",Biography,1981
Absence of Malice,12000000,40716963.0,PG,"116.0,",Drama,1981
Tarzan the Ape Man,6500000,36565280.0,Approved,"115.0,",Adventure,1981
Victory,10000000,10853418.0,PG,"116.0,",Drama,1981
Arthur,7000000,95461682.0,PG,"97.0,",Comedy,1981
My Dinner with Andre,0,5073.0,PG,"110.0,",Biography,1981
Caveman,0,15965924.0,PG,"91.0,",Comedy,1981
History of the World: Part I,11000000,31672907.0,R,"92.0,",Comedy,1981
The Howling,1000000,17985893.0,R,"91.0,",Horror,1981
Dragonslayer,18000000,14110013.0,PG,"109.0,",Action,1981
Cutter's Way,3000000,1752634.0,R,"109.0,",Crime,1981
Quest for Fire,12500000,20962615.0,R,"100.0,",Adventure,1981
The Final Conflict,5000000,20471382.0,R,"108.0,",Horror,1981
Mommie Dearest,5000000,19032261.0,R,"129.0,",Biography,1981
Private Lessons,2800000,26279000.0,R,"87.0,",Comedy,1981
The Postman Always Rings Twice,12000000,12376625.0,R,"122.0,",Crime,1981
Ragtime,0,14920781.0,PG,"155.0,",Drama,1981
Deadly Blessing,2500000,8279042.0,R,"100.0,",Horror,1981
Eyewitness,8500000,6400000.0,R,"103.0,",Crime,1981
Gallipoli,0,5732587.0,PG,"110.0,",Adventure,1981
Outland,16000000,17374595.0,R,"109.0,",Action,1981
S.O.B.,12000000,14867086.0,R,"122.0,",Comedy,1981
The Beyond,400000,123843.0,R,"87.0,",Horror,1981
Ghost Story,0,23371905.0,R,"110.0,",Drama,1981
My Bloody Valentine,0,5672031.0,R,"90.0,",Horror,1981
The Funhouse,0,7886857.0,R,"96.0,",Horror,1981
One from the Heart,26000000,636796.0,R,"107.0,",Drama,1981
The French Lieutenant's Woman,0,26890068.0,R,"124.0,",Drama,1981
The Great Muppet Caper,0,31206251.0,G,"97.0,",Adventure,1981
True Confessions,10000000,12850276.0,R,"108.0,",Crime,1981
Nighthawks,5000000,19905359.0,R,"99.0,",Action,1981
Nice Dreams,0,37000000.0,R,"88.0,",Comedy,1981
Sharky's Machine,0,35610100.0,R,"122.0,",Action,1981
Neighbors,8500000,29916207.0,R,"94.0,",Comedy,1981
Puberty Blues,0,237000.0,R,"87.0,",Comedy,1981
Eye of the Needle,0,17583634.0,R,"112.0,",Romance,1981
Wolfen,17000000,10626725.0,R,"115.0,",Horror,1981
Student Bodies,0,5165432.0,R,"86.0,",Comedy,1981
Prince of the City,8600000,8124257.0,R,"167.0,",Crime,1981
The Hand,0,2447576.0,R,"104.0,",Drama,1981
Continental Divide,0,15578237.0,PG,"103.0,",Comedy,1981
Diva,0,110014.0,R,"117.0,",Music,1981
Venom,0,5229643.0,R,"92.0,",Horror,1981
Fort Apache the Bronx,0,29200000.0,R,"125.0,",Crime,1981
Eyes of a Stranger,800000,1118634.0,R,"84.0,",Horror,1981
Under the Rainbow,20000000,18826490.0,PG,"98.0,",Comedy,1981
Carbon Copy,6000000,9566593.0,PG,"92.0,",Comedy,1981
The Incredible Shrinking Woman,0,20259961.0,PG,"88.0,",Comedy,1981
The Night the Lights Went Out in Georgia,0,14923752.0,PG,"112.0,",Drama,1981
Quartet,0,12042.0,R,"101.0,",Drama,1981
Modern Problems,8000000,26154211.0,PG,"93.0,",Comedy,1981
